Number of words in vocabulary 		: 56054
Number of tags 			: 473
Min of sentence 		: 3
Max of sentence 		: 1960
Avg of sentence 		: 178.82925015867258
Number of tags 		: 473
Total words 		: 9861539
------------------------------------------------------------ 


Frequency of tags in dataset:
AT 97959
NP-TL 4019
NN-TL 13372
JJ-TL 4107
VBD 26167
NR 1566
NN 152470
IN 120557
NP$ 2565
JJ 64028
`` 8837
'' 8789
CS 22143
DTI 2921
NNS 55110
. 60638
RBR 1182
, 58156
WDT 5539
HVD 4895
VBZ 7373
CC 37718
IN-TL 1477
BEDZ 9806
VBN 29186
NP 34476
BEN 2470
TO 14918
VB 33693
RB 36464
DT 8957
PPS 18253
DOD 1047
AP 9522
BER 4379
HV 3928
DTS 2435
VBG 17893
PPO 11181
QL 8735
JJT 1005
ABX 730
NN-HL 1471
VBN-HL 137
WRB 4509
CD 13510
MD 12431
BE 6360
JJR 1958
VBG-TL 133
BEZ 10066
NN$-TL 361
HVZ 2433
ABN 3010
PN 2573
PPSS 13802
PP$ 16872
DO 1353
NN$ 1480
NNS-HL 609
WPS 3924
* 4603
EX 2164
VB-HL 125
: 1558
( 2264
) 2273
NNS-TL 2226
NPS 1275
JJS 359
RP 6009
-- 3405
BED 3282
OD 1935
BEG 686
AT-HL 332
VBG-HL 146
AT-TL 746
PPL 1233
DOZ 467
NP-HL 517
NR$ 66
DOD* 402
BEDZ* 154
,-HL 171
CC-TL 307
MD* 866
NNS$ 257
PPSS+BER 278
' 317
PPSS+BEM 270
CD-TL 898
RBT 101
(-HL 162
)-HL 184
MD-HL 27
VBZ-HL 72
IN-HL 508
JJ-HL 396
PPLS 345
CD-HL 444
WPO 280
JJS-TL 20
ABL 357
BER-HL 11
PPS+HVZ 43
VBD-HL 8
RP-HL 14
MD*-HL 1
AP-HL 40
CS-HL 25
DT$ 5
HVN 237
FW-IN 84
FW-DT 2
VBN-TL 591
NR-TL 309
NNS$-TL 74
FW-NN 288
HVG 281
DTX 104
OD-TL 201
BEM 226
RB-HL 49
PPSS+MD 484
NPS-HL 8
NPS$ 38
WP$ 252
NN-TL-HL 129
CC-HL 119
PPS+BEZ 430
AP-TL 18
UH-TL 15
BEZ-HL 30
TO-HL 55
DO* 485
VBN-TL-HL 6
NNS-TL-HL 14
DT-HL 6
BE-HL 13
DOZ* 89
QLP 261
JJR-HL 17
PPSS+HVD 83
FW-IN+NN 5
PP$$ 164
JJT-HL 6
NP-TL-HL 7
NPS-TL 67
MD+HV 7
NP$-TL 141
OD-HL 8
JJR-TL 15
VBD-TL 6
DT+BEZ 179
EX+BEZ 105
PPSS+HV 241
:-HL 138
PPS+MD 144
UH 608
FW-CC 27
FW-NNS 83
BEDZ-HL 1
NN$-HL 20
.-HL 598
HVD* 99
BEZ* 117
AP$ 9
OOV 9
NP+BEZ 25
FW-AT-TL 44
VB-TL 96
RB-TL 40
MD-TL 8
PN+HVZ 3
FW-JJ-TL 74
FW-NN-TL 170
ABN-HL 4
PPS+BEZ-HL 1
NR-HL 10
HVD-HL 1
RB$ 9
FW-AT-HL 1
DO-HL 4
PP$-TL 35
FW-IN-TL 40
WPS+BEZ 21
*-HL 8
DTI-HL 6
PN-HL 2
CD$ 5
BER* 47
NNS$-HL 4
PN$ 89
BER-TL 6
TO-TL 10
FW-JJ 53
BED* 22
RB+BEZ 11
VB+PPO 71
PPSS-HL 25
HVZ* 22
FW-IN+NN-TL 2
FW-IN+AT-TL 18
NN-NC 118
JJ-NC 41
NR$-TL 11
FW-PP$-NC 1
FW-VB 26
FW-VB-NC 3
JJR-NC 5
NPS$-TL 3
QL-TL 6
FW-AT 24
FW-* 6
FW-CD 7
WQL 176
FW-WDT 16
WDT+BEZ 47
PPO-HL 5
JJ-TL-HL 26
NPS$-HL 1
UH-HL 1
WRB-HL 36
WDT+BEZ-HL 1
NP$-HL 8
WDT-HL 30
DOZ-HL 16
RB-NC 26
---HL 26
PP$-HL 10
:-TL 22
RN 9
VBZ-TL 17
FW-PPL 9
WPO-TL 4
NRS 16
BEZ-TL 8
PPO-TL 13
ABN-TL 7
FW-NP 7
PPL-HL 1
PPSS-TL 9
IN-NC 41
FW-VBZ 4
FW-PPO 4
DO-TL 5
QL-HL 4
DT-TL 9
FW-NNS-TL 36
FW-VBD-TL 1
WRB+BEZ-TL 3
WRB-TL 9
WQL-TL 5
FW-CC-TL 14
FW-AT+NP-TL 2
FW-OD-TL 4
FW-AT+NN-TL 13
NIL 157
FW-IN+AT-T 3
PPSS+BER-TL 1
WPS-TL 12
HVZ-TL 4
BEN-TL 2
RP-TL 4
CD-TL-HL 17
BE-TL 1
IN-TL-HL 6
HV* 42
CS-TL 2
PPSS+HV-TL 1
DOD*-TL 1
PPS-TL 6
FW-RB-TL 3
PN-TL 5
WDT+BEZ-TL 1
NR-TL-HL 5
CC-TL-HL 2
AT-TL-HL 5
FW-JJ-NC 2
FW-JJR 1
FW-NN$ 9
FW-VBD 2
,-TL 4
HV-HL 3
VB+IN 3
WDT+BER+PP 1
VBG+TO 17
NN+HVZ 5
VBN+TO 5
FW-NN$-TL 4
FW-*-TL 2
NN+BEZ 34
FW-UH-NC 1
DO*-HL 3
PPS-HL 19
FW-PP$ 3
RB+BEZ-HL 1
JJS-HL 1
DTS-HL 2
NNS-NC 26
PPSS-NC 31
PPS-NC 9
PN-NC 2
FW-RB 32
FW-VBN 12
PPL-TL 1
WDT+HVZ 2
WRB+BEZ 11
WPS+MD 8
NP-NC 15
FW-IN+NP-TL 2
VBN-NC 9
AT-NC 35
FW-NN-NC 6
NN+MD 2
JJR+CS 1
FW-NNS-NC 2
PPS+HVD 83
VB+RP 2
NRS-TL 1
FW-BEZ 4
FW-BER 3
FW-VBG 7
FW-NR-TL 3
FW-PPSS 6
FW-HV 1
FW-NP-TL 4
VB-NC 41
DOZ*-TL 1
FW-NPS-TL 1
FW-PP$-TL 2
FW-CS 3
*-TL 1
HV-TL 3
FW-PN 1
FW-PPO+IN 3
DT-NC 7
JJT-TL 4
DTI-TL 2
.-TL 2
EX+MD 4
FW-UH 8
FW-NPS 2
FW-CD-TL 2
FW-BE 1
FW-PPS 1
FW-NR 1
FW-TO+VB 1
FW-IN+AT 4
JJ$-TL 1
FW-VB-TL 1
FW-RB+CC 1
FW-WPO 1
FW-NN-TL-NC 1
FW-WPS 1
FW-PPL+VBZ 2
DOZ-TL 2
VBN-TL-NC 3
NNS-TL-NC 3
NN-TL-NC 3
FW-DTS 1
NNS$-TL-HL 1
FW-VBG-TL 1
EX-HL 1
PPO-NC 9
PPSS+BER-N 1
WRB-NC 7
BER-NC 5
TO-NC 13
NR-NC 4
UH-NC 5
HV-NC 11
,-NC 5
